"DATE & TIME","USER NAME","EVENT","TARGET NAME","PROJECT NAME"
"2026-02-11T21:05:55.725Z","integration-test","Publish App","tendler3","tendler3"
"2026-02-11T21:05:55.724Z","integration-test","Start Run","","tendler3"
"2026-02-11T21:05:55.680Z","integration-test","Mount External Data Volumes to Execution","tendler3","tendler3"
"2026-02-11T21:05:55.574Z","integration-test","Update App Custom URL","abc","tendler3"
"2026-02-11T21:05:27.988Z","integration-test","View Repo File","","tendler3"
"2026-02-11T21:05:23.220Z","integration-test","Create Project","tendler3","tendler3"
"2026-02-11T21:05:23.210Z","integration-test","Add Grant For Dataset","integration-test","tendler3"
"2026-02-11T21:05:23.204Z","integration-test","Create Dataset","tendler3","tendler3"
"2026-02-11T20:55:11.501Z","agnes_domino","Start a Workspace Session","agnes_domino's SAS session","CDISC01_CSR"
"2026-02-11T20:55:11.490Z","agnes_domino","Start Run","","CDISC01_CSR"
"2026-02-11T20:55:11.408Z","agnes_domino","Mount NetApp-backed Volumes to Execution","CDISC01_CSR","CDISC01_CSR"
"2026-02-11T20:55:11.277Z","agnes_domino","Mount External Data Volumes to Execution","CDISC01_CSR","CDISC01_CSR"
"2026-02-11T20:39:38.273Z","agnes_domino","View Repo File","","CDISC01_CSR"
"2026-02-11T20:28:20.390Z","agnes_domino","View Repo File","","CDISC01_CSR"
"2026-02-11T20:16:44.682Z","agnes_domino","View Repo File","","CDISC01_CSR"
"2026-02-11T17:22:39.395Z","ross_domino","Stop a Workspace Session","ross_domino's RStudio session","Introduction_to_Domino"
"2026-02-11T16:59:24.194Z","ross_domino","Set Environment Variable","SERVICE_ACCOUNT","Introduction_to_Domino"
"2026-02-11T16:46:19.247Z","ross_domino","Start Run","","Introduction_to_Domino"
"2026-02-11T16:46:19.247Z","ross_domino","Publish App","Introduction_to_Domino","Introduction_to_Domino"
"2026-02-11T16:46:19.199Z","ross_domino","Mount External Data Volumes to Execution","Introduction_to_Domino","Introduction_to_Domino"
"2026-02-11T16:46:19.052Z","ross_domino","Stop App","","Introduction_to_Domino"
"2026-02-11T16:43:11.856Z","ross_domino","View Repo File","","Introduction_to_Domino"
"2026-02-11T16:33:29.729Z","ross_domino","Start Run","","Introduction_to_Domino"
"2026-02-11T16:33:29.729Z","ross_domino","Publish App","Introduction_to_Domino","Introduction_to_Domino"
